name,current_status,jurisdiction_code,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
Blissful Saunas LLC,Dissolved,us_al,,2020-08-17,,
Hammam Wellness Spa LLC,Exists,us_al,,2020-11-06,,
Banya Design LLC,Exists,us_al,,2021-11-03,,
Baltic Sauna LLC,Exists,us_al,,2024-01-24,,
"BATHHOUSE SOAP, INC.",Good Standing,us_ar,,2016-12-30,,
K03 SAUNA LLC,Revoked,us_ar,,2021-06-16,,
410 BATHHOUSE ROW LLC,Good Standing,us_ar,,2024-03-27,,
"SUPREME SPAS AND SAUNAS, INC.",Inactive,us_az,,1980-07-29,"9420 E DOUBLETREE RANCH RD 108  , NULL",AZ
"HOT STUFF SPAS & SAUNAS, INC.",,us_az,,1984-09-21,,
"SEQUOIA SPAS & SAUNAS, INC.",Pending Inactive,us_az,,1987-02-26,8445 E. Amethyst lane,"Pima, AZ"
"ARIZONA SAUNA, INC.",Inactive,us_az,,2004-04-07,"1514 W TODD DR STE B-102  , NULL",AZ
"VIBRANT HEALTH SAUNAS, INC.",Inactive,us_az,,2005-07-27,"% BUSINESS FILINGS INC 2390 E CAMELBACK RD, NULL",AZ
"AM-FINN SAUNA COMPANY, INC.",,us_az,,,"BEATRIZ VON UNGERN-STERNBERG\n228 E PLAZA ST STE B226\nEAGLE, ID 83616",
"Spa, Sauna & Steam Room Service LLC",Active,us_az,,2021-04-04,9816 W Caron Dr.,"Maricopa, AZ"
Ebathandsauna.com LLC,Active,us_az,,2021-04-06,4605 West Fawn Drive,"Maricopa, AZ"
Sauna One LLC,Active,us_az,,2021-10-29,1627 N. 40th Street,"Maricopa, AZ"
The Bathhouse Buddha LLC,Active,us_az,,2022-02-22,891 E Gail Dr,"Maricopa, AZ"
Sauna Group LLC,Active,us_az,,2022-05-16,118 N Velma Drive,"Maricopa, AZ"
Saunacle Customs LLC,Active,us_az,,2022-08-02,18624 N 2nd Ave,"Maricopa, AZ"
Asauna LLC,Active,us_az,,2022-09-12,3213 Jack Drive,"Yavapai, AZ"
STEAMSESH SAUNA STUDIO LLC,Active,us_az,,2023-06-23,1360 Bucky O'Neil,"Yavapai, AZ"
All Things Sauna & Steam LLC,Active,us_az,,2023-10-02,10631 W Edgewood Dr,"Maricopa, AZ"
The Bathhouse Buddha LLC,Active,us_az,,2023-10-20,835 W Warner Rd Ste 101-144,"Maricopa, AZ"
"Sedona Infrared Sauna, LLC",Active,us_az,,2023-10-24,"Red Stone Center, 150 AZ-179, Suite #3",AZ
"SAUNA WORKS, INC.",Active,us_az,,2024-02-27,"1846 E. Innovation Park Dr., STE 100","Pima, AZ"
AM-FINN SAUNA COMPANY INC.,Active,us_az,,2010-07-26,REGISTERED AGENT 1846 E INNOVATION PARK DRIVE SUITE 100,"Pima, AZ"
"OXYGEN SAUNA, LLC",Active,us_az,,1999-04-27,1702 E OAK HABOR DR,"Maricopa, AZ"
"ARIZONA SAUNA OF TUCSON, LLC",Active,us_az,,2004-05-04,38572 S SAND CREST DR,"Pinal, AZ"
"WASAUNA, LLC",Inactive,us_az,,2004-12-23,5239 W Garden Drive,AZ
"INFRARED SAUNA, LLC",Active,us_az,,2006-03-09,1954 E MISSOURI AVE,"Maricopa, AZ"
"RADIANCE SAUNAS, LLC",Active,us_az,,2006-07-17,7339 N THIRD AVE,"Maricopa, AZ"
SUPREME POOLS AND SAUNAS LLC,Active,us_az,,2006-11-22,3305 E. JUNE CIRLCE,"Maricopa, AZ"
"AZ LIGHT SAUNAS, LLC",Active,us_az,,2007-11-09,6134 S ST ANDREWS WAY,"Maricopa, AZ"
SANCTUARY SAUNA LLC,Active,us_az,,2007-12-26,4414 E LINCOLN DR,"Maricopa, AZ"
"THE SAUNA HOUSE, LLC",Active,us_az,,2009-01-06,8158 N PLANTATION PL,"Pima, AZ"
"FINNCRAFT SAUNA, LLC",Active,us_az,,2010-09-23,1308 E LAS PALMARITAS,"Maricopa, AZ"
THE VIKING SAUNA CORPORATION,Terminated,us_ca,,1959-05-25,,
VIKING SAUNA CORPORATION OF SOUTHERN CALIFORNIA,Suspended   Ftb,us_ca,,1962-04-17,,
"SUPER-SAUNA, INC.",Suspended   Ftb,us_ca,,1963-06-07,,
"SWEDISH SAUNA, INC.",Suspended   Ftb,us_ca,,1963-07-01,5949 CLARA ST,CA
"FLAGS, FLAGPOLES AND SAUNAS",Terminated,us_ca,,1964-06-29,2071 CALIENTE,CA
"SOLAR SAUNA CO., INC.",Terminated,us_ca,,1969-01-03,"12177 MONTAGUE ST.,\nPACOIMA, CA 91331",
FINSKA SAUNA CORPORATION,Terminated,us_ca,,1969-01-28,"2740 N. MAIN STREET,, F",CA
"PRO SAUNA INTERNATIONAL, INC.",Suspended   Ftb,us_ca,,1970-02-20,,
"SAUNA SHORTS, INC.",Terminated,us_ca,,1970-05-08,"16140 COVELLO,\nVAN NUYS, CA 91405",
"SAUNA MASTER, INC.",Suspended   Ftb,us_ca,,1971-01-28,"3029 WILSHIRE BLVD STE 206,\nSANTA MONICA, CA 90403",
"SAUNALAND, U.S.A., INC.",Suspended   Ftb,us_ca,,1971-08-05,", SANTA CRUZ, CA 95060",
"SAUNA 24, INC.",Suspended   Ftb,us_ca,,1972-05-25,"1466 ODDSTAD DRIVE,\nREDWOOD CITY, CA 94063",
SAUNAS INTERNATIONAL,Suspended   Ftb,us_ca,,1973-01-11,"3217 WINONA AVE.,\nBURBANK, CA 91504",
"ULTRA SAUNA OF NORTHERN CALIFORNIA, INC.",Terminated,us_ca,,1973-08-30,"703 GRANDVIEW DRIVE,\nSOUTH SAN FRANCISCO, CA 94080",
"ULTRA SAUNA OF CENTRAL CALIFORNIA, INC.",Suspended   Ftb,us_ca,,1974-07-11,"835 W. VASSAR,\nFRESNO, CA 93705",
"SAUNA SUIT, INC.",Suspended   Ftb,us_ca,,1975-12-10,"3033 BUNKER HILL RM LO-2,\nSAN DIEGO, CA 92109",
"THE FAMILY SAUNA SHOP, INC.",Suspended   Ftb,us_ca,,1976-07-29,"1208 20TH AVE,\nSAN FRANCISCO, CA 94122",
"ALBANY SAUNA, INC.",Active,us_ca,,1977-01-14,1002 SOLANO AVENUE,CA
SAUNAHAUS INDUSTRIES,Suspended   Ftb,us_ca,,1977-08-04,"P O BOX 2352,\nORANGE, CA 92669",
"SAUNA KING, INC.",Suspended   Ftb,us_ca,,1978-06-06,"11650 W OLYMPIC BL,\nLOS ANGELES, CA 90064",
"ANDERSON SPA AND SAUNA, INC.",Suspended   Ftb,us_ca,,1978-06-26,"1975 DIAMOND BLVD RM B-290,\nCONCORD, CA 94520",
THE HOT TUB SPA & SAUNA,Suspended   Ftb,us_ca,,1978-07-21,8054 WEST 3RD ST,CA
"THE GREAT AMERICAN SPA & SAUNA CO., INC.",Suspended   Ftb,us_ca,,1979-02-21,"666 E OCEAN BLVD STE 1106,\nLONG BEACH, CA 90802",
"ULTRA SAUNA OF SO. CALIFORNIA, INC.",Suspended   Ftb/Sos,us_ca,,1978-10-30,"2019-A CENTRAL AVE #A,\nS EL MONTE, CA 91733",
"OLD TOWN HOT TUBS AND SAUNAS, INC.",Suspended   Ftb,us_ca,,1980-01-09,"P O BOX 848,\nEUREKA, CA 95501",
"AMERICAN FAMILY SAUNA & TUB, INC.",Terminated,us_ca,,1980-12-09,88 TRELANY LANE,CA
THE HOT TUB SPA & SAUNA #2,Suspended   Ftb,us_ca,,1981-04-14,"10932 SANTA MONICA BLVD,\nLOS ANGELES, CA 90025",
"VULCAN STEAM AND SAUNA, INC.",Terminated,us_ca,,1981-05-13,805 WEST CEDAR STREET,CA
"THE CALIFORNIA SPA & SAUNA COMPANY, A CALIFORNIA CORPORATION",Suspended   Ftb,us_ca,,1982-04-23,"580 4TH ST,\nSAN FRANCISCO, CA 94107",
"VERMONT SAUNA SPA, INC.",Suspended   Ftb,us_ca,,1982-10-13,"932 S VERMONT AVE,\nLOS ANGELES, CA 90006",
"SAUNAHOUSE ORIENTAL MASSAGE, INC.",Suspended   Ftb,us_ca,,1982-10-18,"866 SUTTER ST,\nSAN FRANCISCO, CA 94109",
"SVEN'S SAUNA, INC.",Terminated,us_ca,,1985-01-28,"3070 KERNER BLVD,\nSAN RAFAEL, CA 94902",
"GRAND CENTRAL SAUNA & HOT TUB COMPANY OF BERKELEY, INC.",Terminated,us_ca,,1986-10-07,"650 5TH ST #405,\nSAN FRANCISCO, CA 94107",
GRAND CENTRAL SAUNA & HOT TUB COMPANY OF HAYWARD INC.,Terminated,us_ca,,1986-10-07,445 HAMPSHIRE STREET,CA
GRAND CENTRAL SAUNA & HOT TUB COMPANY OF MOUNTAIN VIEW,Terminated,us_ca,,1986-10-07,"650 5TH ST #405,\nSAN FRANCISCO, CA 94107",
"GRAND CENTRAL SAUNA & HOT TUB COMPANY OF SAN FRANCISCO, INC.",Suspended   Ftb,us_ca,,1986-10-07,445 HAMPSHIRE ST STE C,CA
GRAND CENTRAL SAUNA & HOT TUB COMPANY OF SAN JOSE,Active,us_ca,,1986-10-07,445 HAMPSHIRE STREET,CA
"GRAND CENTRAL SAUNA & HOT TUB COMPANY OF SEA-TAC, INC.",Terminated,us_ca,,1986-10-07,445 HAMPSHIRE ST,CA
"HEALTH MATE SAUNA, INC.",Suspended   Ftb,us_ca,,1986-03-07,4282 WILSHIRE BL #2,CA
AMSTAR SAUNA CORPORATION,Terminated,us_ca,,1988-04-22,4213 N ROSEMEAD BLVD #H-1,CA
SAUNAR DRYWALL,Suspended   Ftb,us_ca,,1988-12-30,561 LAKEVILLE CIRCLE,CA
"PACIFIC SAUNA & STEAM, INC.",Active,us_ca,,1989-08-08,837 ARNOLD DR NO. 4,CA
ORANGE COUNTY SAUNA BUILDERS,Suspended   Ftb,us_ca,,1986-09-12,"2525 S HARBOR BLVD,\nSANTA ANA, CA 92704",
NORDIC SAUNA,Suspended   Ftb,us_ca,,1986-09-15,"14940 CALVERT ST,\nVAN NUYS, CA 91411",
SAUNASOURCE LTD.,Suspended   Ftb,us_ca,,1986-09-15,"14940 CALVERT ST,\nVAN NUYS, CA 91411",
"GARDENA SAUNA, INC.",Terminated,us_ca,,1992-01-30,3986 WILSHIRE BLVD,CA
"SAKURA HEALTH GYM & SAUNA, INC.",Active,us_ca,,1994-08-02,111 N ATLANTIC BLVD #231,CA
SAUNA BY AIRWALL,Terminated,us_ca,,1997-02-13,8739 E ARTESIA BLVD,CA
NAMI SAUNA INC.,Suspended   Ftb,us_ca,,1997-02-24,18172 COLIMA RD,CA
GRAND CENTRAL SAUNA & HOT TUB CO.,Terminated,us_ca,,1984-07-03,"650 5TH ST, #405",CA
AMERICAN FAMILY SAUNA & TUB LIMITED # 1,Terminated,us_ca,,1984-07-18,88 TRELANY,CA
GRAND CENTRAL SAUNA & HOT TUB CO. OF BERKELEY,Terminated,us_ca,,1984-08-09,650 5TH ST. #405,CA
GRAND CENTRAL SAUNA & HOT TUB CO. OF MOUNTAIN VIEW,Terminated,us_ca,,1984-08-16,650  5TH ST. RM 405,CA
GRAND CENTRAL SAUNA & HOT TUB CO. OF SEATTLE,Active,us_ca,,1984-10-12,"650-5TH ST., RM. 405",CA
"THE BERKELEY SAUNA SHOP, A CALIFORNIA LIMITED PARTNERSHIP",Terminated,us_ca,,1985-07-02,1947 MILVIA ST.,CA
BANYA 2000 LLC,Active,us_ca,,1999-04-27,"748 INNES AVE., #100",CA
"BIO HEALTH SAUNA, LLC.",Terminated,us_ca,,2002-05-02,6771 BEACH BLVD. #F,CA
SAUNA DEPOT LLC,Terminated,us_ca,,2002-05-07,4921 BIRCH STREET STE 120,CA
"NEW AGE MARIN SAUNA, LIMITED PARTNERSHIP",Terminated   Sos Admin,us_ca,,2002-08-26,372 BEL MARIN KEYS BLVD STE B,CA
STEAMWORKS TORONTO GYM/SAUNA LLC,Active,us_ca,,2002-11-18,12644 QUAIL HOLLOW DRIVE,CA
"AMERICAN FAMILY SAUNA AND TUB, L.L.C.",Active,us_ca,,2003-03-28,98 PRICE LANE,CA
SAUNAP LLC,Terminated,us_ca,,2006-02-08,1648 CLARKSPUR LN,CA
"BANYA INVESTMENTS, LLC",Active,us_ca,,2006-04-26,1711 TIERRA CT,CA
"CIVIC CENTER SAUNA AND HOT TUBS, LLC",Suspended   Ftb,us_ca,,2006-10-02,855 E FRANCISCO,CA
"SOLAR SAUNA, LLC",Terminated,us_ca,,2007-07-25,1029 KITCHENER CIR,CA
"SAUNASUITS, LLC",Terminated,us_ca,,2008-04-24,2435 MOHAWK ST #5,CA
"SAUNA HOUSE MANAGEMENT, LLC",Active,us_ca,,2009-09-15,866 SUTTER STREET,CA
"CRYSTAL SPA AND SAUNA OF LOS ANGELES, LLC",Terminated,us_ca,,2010-04-12,3500 W 6TH ST STE 321,CA
"PERSAUNA SPA, LLC",Suspended   Ftb,us_ca,,2010-07-14,12553 KENOBI CT,CA
"ARCHIMEDES BANYA SF, L.L.C.",Active,us_ca,,2011-05-25,748 INNES AVE # 100,CA
SAUNAS UNLIMITED LLC,Suspended   Ftb/Sos,us_ca,,2013-01-22,826 ORANGE AVE STE 313,CA
TEMECULA ENERGY SAUNA LLC,Terminated,us_ca,,2013-05-02,27715 JEFFERSON AVE STE 113D,CA
SALUS SAUNAS LLC,Terminated,us_ca,,2013-06-28,16541 REDMOND WAY STE 395C,WA
SAUNA CLOUD LLC,Active,us_ca,,2014-01-09,5400 MAGNUM LANE,CA
AMERICAN SPA AND SAUNA LLC,Active,us_ca,,2014-10-23,23931 VENTURA BLVD,CA
"PURIFY SAUNA LOUNGE, LLC",Active,us_ca,,2015-05-21,5655 E LA PALMA AVE STE 123,CA
"SUB ZERO CRYOSAUNA, LLC",Suspended   Ftb,us_ca,,2016-02-22,760 W CENTER AVE,CA
"BURBANK INFRARED SAUNA, LLC",Active,us_ca,,2016-10-17,209 N. VICTORY BLVD.,CA
"SHAMMAM PROPERTIES, LLC",Active,us_ca,,2017-02-17,4320 VANDEVER AVE,CA
INFRARED SAUNA OF LONG BEACH LLC,Active,us_ca,,2017-09-08,"4103 N. VIKING WAY, SUITE B",CA
"NEU-SAUNA, LLC",Suspended   Ftb,us_ca,,2018-02-28,"10351 SANTA MONICA BLVD., SUITE 420",CA
"SOL SAUNA, LLC",Terminated,us_ca,,2018-02-20,134 AVENIDA SAN FERNANDO,CA
"NORDIC SAUNA, LLC",Suspended   Sos,us_ca,,2018-08-07,14831 BESEMER ST,CA
SWEAT SAUNA LLC,Active,us_ca,,2018-08-15,120 TUSTIN AVE STE  C1124,CA
SECRET SAUNA PRODUCTIONS LLC,Terminated,us_ca,,2018-09-07,837 TRACTION AVE APT 412,CA
SAUNATOPIA LLC,Terminated,us_ca,,2018-09-14,1910 THOMES AVENUE,WY
"THE SPA AND SAUNA CO. OF CALIFORNIA, LLC",Active,us_ca,,2018-12-31,"1401 21ST ST, STE R",CA
THE SALT & SAUNA SANCTUARY LLC,Active,us_ca,,2019-03-14,"26500 W. AGOURA ROAD, #102-762",CA
NEOSAUNA LLC,Terminated,us_ca,,2019-03-21,2869 HISTORIC DECATUR RD,CA
LEFT COAST SAUNA LLC,Terminated,us_ca,,2019-03-26,44 JERSEY ST,CA
BASK INFRARED SAUNA LLC,Terminated,us_ca,,2019-07-23,"201 EAST MAGNOLIA BLVD, SUITE 509",CA
SAUNAMERICA LLC,Active,us_ca,,2019-09-25,"803 SMALLEY AVE, APT #8",CA
SWEAT EQUITY SAUNAS LLC,Terminated,us_ca,,2019-10-26,99 W CALIFORNIA BLVD 50662,CA
BOWLING BALL SAUNA LLC,Terminated,us_ca,,2020-01-14,3462 N MOUNTAIN VIEW DR,CA
TRISUM SAUNAS LLC,Active,us_ca,,2020-05-29,"9986 VIA DE LA AMISTAD, STE. G",CA
LITE SAUNA LLC,Active,us_ca,,2020-06-03,2356 TORREY PINES RD UNT #15,CA
SIMPLY SAUNA LLC,Terminated,us_ca,,2020-07-15,2815 22ND ST.,CA
CELESTIAL SAUNAS L.L.C.,Active,us_ca,,2020-08-11,2862 WEST FALLBROOK AVENUE,CA
SAUNAIE LLC,Active,us_ca,,2020-12-23,1377 SOUTH LILAC AVENUE STE. 115,CA
SAUNA PROS LLC,Active,us_ca,,2021-01-19,3141 STEVENS CREEK BLVD #40691,CA
"S & V POOL, SPA & SAUNA SERVICES LIMITED LIABILITY COMPANY",Active,us_ca,,2021-02-02,4221 W 59TH PL,CA
"NOSTA SAUNA LOUNGE, LLC",Active,us_ca,,2021-04-05,1261 N PATT STREET,CA
RYNO SAUNA LLC,Active,us_ca,,2021-06-08,43980 MAHLON VAIL RD,CA
"LOST SAUNA CO, LLC",Active,us_ca,,2021-07-02,310 CARNELIAN WOODS AVENUE,CA
NORDIC SAUNA LLC,Active,us_ca,,2021-07-19,14831 BESSEMER ST,CA
FIT SAUNAS LLC,Active,us_ca,,2021-07-18,444 SOUTH SYDNEY DRIVE,CA
"SAUNA, LLC",Active,us_ca,,2021-08-31,47 FLATBUSH AVE #149,NY
WILDSTAR SAUNA LLC,Terminated,us_ca,,2021-11-08,205 N. MT. SHASTA BLVD. STE. 400,CA
IBATHHOUSE LTD. LIABILITY CO.,Active,us_ca,,2022-01-05,"930 FIGUEROA TERR, 604",CA
SAUNADOC LLC,Terminated,us_ca,,2022-01-16,4652 MAJESTIC MEADOWS DRIVE,TN
ALL ABOUT YOU SAUNA BOUTIQUE LLC,Active,us_ca,,2022-01-17,28623 HASKELL CYN.,CA
SAUNATICA FRANCHISING LLC,Active,us_ca,,2022-05-13,"179 EAST 17TH STREET, SUITE E, SUITE E",CA
Sauna Records LLC,Active,us_ca,,2022-06-08,3249 BENNETT DR,CA
SAUNATICA IP LLC,Active,us_ca,,2022-07-01,179 E 17TH ST STE E,CA
TNT SAUNA STUDIO LLC,Terminated,us_ca,,2022-07-01,179 E 17TH ST STE E,CA
MendoSauna LLC,Active,us_ca,,2022-09-17,30251 PUDDING CREEK RD,CA
Sauna Therapy LLC,Active,us_ca,,2022-09-02,2 BENT OAK,CA
Sunwell Sauna Blankets LLC,Terminated,us_ca,,2022-10-24,"1450 MARKET ST, 317",CA
Sunrise Sauna LLC,Active,us_ca,,2022-12-16,165 BUTTERFLY CREEK RD.,CA
SmileSauna LLC,Active   Pending Termination,us_ca,,2022-12-27,3705 W PICO BLVD #998,CA
The Banya LLC,Active,us_ca,,2023-01-19,1816 CAYMAN WAY,CA
Smoke Sauna BBQ LLC,Active,us_ca,,2023-01-29,53944 S. RIVER RD.,CA
Infrared Sauna House LLC,Active,us_ca,,2023-03-18,"932 EL PASO DRIVE, 1/2",CA
Eastern Plunge & Sauna LLC,Active,us_ca,,2023-04-12,8605 SANTA MONICA BLVD #253896,CA
Redwood Sauna Company LLC,Terminated,us_ca,,2023-06-12,1360 N SAN PEDRO ST,CA
MOJAVE SAUNA AND COLD PLUNGE LLC,Active,us_ca,,2023-06-29,7536 ROCKAWAY AVE,CA
Jay's Mobile Sauna & Cold Plunge LLC,Terminated,us_ca,,2023-08-29,28867 ESCALANTE RD,CA
Saunabox LLC,Active,us_ca,,2023-09-06,6731 HARBOR KEY CIRCLE,CA
BANYA SONS & CO. LLC,Active,us_ca,,2023-09-26,39 SAN CLEMENTE DR APT 303,CA
Mammoth Sauna Company LLC,Active,us_ca,,2023-10-17,"65 MOUNTAIN BOULEVARD, 4",CA
Revibe Sauna & Cold Plunge LLC,Active,us_ca,,2023-10-24,24992 WOOLWICH ST,CA
Light Wave Sauna Studio LLC,Active,us_ca,,2023-11-03,2908 LUSITANA COURT,CA
Beach Sauna Express LLC,Active,us_ca,,2023-11-15,364 LUISENO AVENUE,CA
Sauna Goblins LLC,Active,us_ca,,2023-12-08,1411 N AVENUE 50,CA
SolutionSauna LLC,Active,us_ca,,2024-01-22,5150 MAE ANNE AVENUE,NV
Pink Bathhouse LLC,Active,us_ca,,2024-02-03,"5665 W. WILSHIRE BLVD, 1265",CA
Refiner's Camp Saunas LLC,Active,us_ca,,2024-02-09,1223 HORSE CREEK ROAD,CA
The Girls Sauna Studio LLC,Active,us_ca,,2024-02-16,2791 BUNTING CIRCLE,CA
Sierra Sauna Club LLC,Active,us_ca,,2024-03-12,"401 RYLAND ST., STE 200-A",NV
Joshua Tree Mobile Sauna LLC,Active,us_ca,,2024-03-18,"2108 N ST, #7912",CA
SAUNA SPIRIT LLC,Active,us_ca,,2024-03-19,"1805 LOS FELIZ DR., APT 104",CA
"HAN KOOK SAUNA, INC.",Terminated,us_ca,,1998-04-29,3121 W OLYMPIC BLVD,CA
"SAUNA WAREHOUSE, INC.",Terminated,us_ca,,1998-03-31,"6 ORCHARD, SUITE 201",CA
SAUNATEC INC.,Terminated,us_ca,,1998-07-29,575 E COKATO STREET,MN
APEX SAUNAS AND WINE CELLARS,Forfeited   Ftb,us_ca,,1999-12-01,15540 WOODINVILLE REDMOND RD NE STE A800,WA
"SAUNA GIRL, INC.",Active,us_ca,,2000-04-03,2018 PICO BLVD,CA
"SUNLIGHT SAUNAS, INC.",Merged Out,us_ca,,2001-08-20,511 CENTER ST,CA
"SUNDANCE SAUNA, INC.",Terminated,us_ca,,2002-06-20,1994 DIAMOND ST #1,CA
AMERICAN INFRARED SAUNA CORPORATION,Suspended   Ftb,us_ca,,2002-08-05,1335 S. CLAUDINA ST,CA
EMONNI MIKE SAUNA INC.,Active,us_ca,,2002-11-04,14334 ERIE ROAD,CA
"VERMONT SAUNA, INC.",Terminated,us_ca,,2002-11-06,932 S VERMONT AVE,CA
"SAUNA WORKS, INC.",Active,us_ca,,2003-06-02,1077 EASTSHORE HWY,CA
"SAUNA SHOP, INC.",Suspended   Ftb,us_ca,,2003-06-13,64622 PINEHURST CIR,CA
"SAUNA SPA, INC.",Suspended   Ftb/Sos,us_ca,,2003-12-03,866 SUTTER STREET,CA
"BRIGHTON SAUNA, INC.",Terminated,us_ca,,2005-09-13,5190 NEIL ROAD STE 430,NV
"NATURAL SAUNA, INC.",Terminated,us_ca,,2005-03-07,23284 TORONKA COURTNA,CA
MASTER SAUNAS,Suspended   Ftb,us_ca,,2004-12-30,3667 OMEC PARK DR.,CA
"HAMILTONS CELLARS SAUNAS STEAM, INC.",Suspended   Ftb,us_ca,,2005-04-04,255 N EL CIELO ST 140-644,CA
COSMOS SAUNA CO.,Suspended   Ftb/Sos,us_ca,,2005-11-21,356 S WESTERN AVE #210,CA
"SHAMMAM CONSULTING SERVICES, INC.",Active,us_ca,,2005-08-04,4320 VANDEVER AVENUE,CA
"HEFEI SOUTH ASIA SAUNA EQUIPMENT CO. OF AMERICA, INC.",Terminated,us_ca,,2007-01-12,11 IRIS LN.,CA
"JOHNSON'S JACCUZI & SAUNA MART, INC.",Suspended   Ftb,us_ca,,2005-11-29,1910 COGSWELL RD,CA
SAUNA CROWN INC.,Suspended   Ftb,us_ca,,2006-04-28,2736 LINDY AVE,CA
"NEW COSMOS SAUNA, INC.",Terminated,us_ca,,2006-05-22,17619 SHERMAN WAY,CA
EACON SAUNA CORPORATION,Terminated,us_ca,,2006-08-14,18513 E GALE AVENUE,CA
WEST COAST SAUNAS INC.,Suspended   Ftb,us_ca,,2006-03-15,2371 LA MIRADA DR,CA
"TROPIC SAUNA, INC.",Suspended   Ftb,us_ca,,2006-10-27,"207 N. EL CAMINO REAL STE 15,\nSAN CLEMENTE, CA 92672",
"GAIA SAUNAS, INC.",Suspended   Ftb,us_ca,,2007-01-19,1501 FRONT STREET #111,CA
INSAUNAT INC.,Terminated,us_ca,,2007-02-05,12573 DORMOUSE RD,CA
VITAL SAUNAS INC.,Terminated,us_ca,,2007-08-09,2955 BABBLING BROOK RD,CA
"KLG SPA & SAUNA, INC.",Terminated,us_ca,,2008-01-17,2933 W. PICO BL,CA
"LIFE SAUNAS INTERNATIONAL, INC.",Suspended   Ftb,us_ca,,2008-02-14,2756 E BIDWELL ST #362,CA
"JADE AND JEWEL SAUNA SUPPLY, INC.",Terminated,us_ca,,2008-02-20,15001 S. BROADWAY STREET,CA
"ICHIBANYA USA, INC.",Active,us_ca,,2009-10-08,"3625 DEL AMO BOULEVARD, SUITE 170",CA
"AMERICAN HOME SAUNA, INC.",Terminated,us_ca,,2008-10-14,4030 N PALM ST STE 301,CA
"U.S. FAR INFRARED SAUNA, INC.",Suspended   Ftb,us_ca,,2009-06-29,"42 MILL VALLEY RD,\nPOMONA, CA 91766",
ISAUNA CORP.,Suspended   Ftb/Sos,us_ca,,2008-08-08,385 RIVER OAKS PARKWAY #4112,CA
"DREAM SAUNA & SPA, INC.",Terminated,us_ca,,2009-08-26,612 N VERMONT AVE,CA
PACIFIC COAST SAUNAS INC.,Terminated,us_ca,,2010-09-02,1419 PHILLIPS ST.,CA
"APEX WINE CELLARS AND SAUNAS, INC.",Suspended   Ftb,us_ca,,2010-09-13,17631 S SUSANA ROAD,CA
PURITY SAUNAS INCORPORATED,Terminated,us_ca,,2011-05-10,9471 RIDGEHAVEN CT STE B,CA
"MOHAMED HAMMAM, BDS INC.",Active,us_ca,,2013-01-31,"1127 E CHESTNUT STREET, APT B",CA
"WESTERN SAUNA SUK KYUNGRAK, INC",Active,us_ca,,2013-03-26,356 S WESTERN AVE STE B,CA
PROLINE SAUNAS INC.,Suspended   Ftb/Sos,us_ca,,2013-06-07,18029 CALLE AMBIENTE #516,CA
"ALPHASWITCH CRYOSAUNA, INC.",Active,us_ca,,2013-11-15,30251 GOLDEN LANTERN STE B,CA
SAUNAWORKZ INC.,Active,us_ca,,2014-01-01,10322 TRASK AVENUE    UNIT A,CA
"THE SAUNA STUDIO, INC.",Terminated,us_ca,,2014-06-20,137 N DUNNING ST,CA
ECO INFRARED SAUNAS INC.,Suspended   Ftb/Sos,us_ca,,2015-10-08,"5755 OBERLIN DR, SUITE 240",CA
