name,current_status,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"CABRILLO CARDIOLOGY MEDICAL GROUP, INC.",Active,,1971-09-13,"2241 WANKEL WAY, SUITE C",CA
"PEDIATRIC ANESTHESIA ASSOCIATES MEDICAL GROUP, INC.",Active,,1971-09-28,"6235 N. FRESNO STREET, SUITE 103",CA
"ORTHOPAEDIC MEDICAL GROUP OF RIVERSIDE, INC.",Active,,1971-10-20,4354 LATHAM ST #100,CA
LONG BEACH NEUROLOGICAL MEDICAL GROUP INC,Active,,1971-10-12,"2880 ATLANTIC AVE STE 260, SUITE 260",CA
"SOUTH ORANGE COUNTY SURGICAL MEDICAL GROUP, INC.",Active,,1971-11-08,24411 HEALTH CENTER DR STE 350,CA
"VALLEY SURGICAL SPECIALISTS MEDICAL GROUP, INC.",Active,,1972-01-05,782 MEDICAL CENTER DR. EAST #101,CA
"WILSHIRE ONCOLOGY MEDICAL GROUP, INC.",Active,,1972-01-24,377 N. CENTRAL AVE.,CA
"PEDIATRIC CARE MEDICAL GROUP, INC.",Active,,1972-09-22,17441 HILLGATE LN,CA
"NEUROLOGY - PEDIATRIC NEUROLOGY ASSOCIATES A MEDICAL GROUP, INC.",Active,,1972-11-02,"10830 LINDBROOK DRIVE, 9",CA
AGOURA-WEST VALLEY PEDIATRIC MEDICAL GROUP,Active,,1972-08-01,7320 WOODLAKE AVENUE SUITE 270,CA
"EL CAJON PHYSICIANS & SURGEONS MEDICAL GROUP, INC.",Active   Pending Termination,,1972-09-13,9980 EL CAPITAN REAL ROAD,CA
"ALPINE ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,1972-09-05,2488 N CALIFORNIA STREET,CA
"TRI-CITY ORTHOPEDIC SURGERY, MEDICAL GROUP, INC.",Active,,1972-11-08,3905 WARING RD,CA
"GLENDALE INTERNAL MEDICINE & CARDIOLOGY MEDICAL GROUP, INC.",Active,,1973-04-16,500 NORTH CENTRAL SUITE 800,CA
"HARBOR PEDIATRIC MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,1973-06-01,"601 DOVER DRIVE, STE 7",CA
"WEST CONTRA COSTA UROLOGICAL SURGERY MEDICAL GROUP, INC.",Active,,1973-07-26,1999 SERENO DR,CA
"ORTHOPEDIC MEDICAL GROUP OF SAN DIEGO, INC.",Active,,1973-07-06,"3750 CONVOY STREET, STE. 201",CA
"CARDIOLOGY ASSOCIATES OF BERKELEY, A MEDICAL GROUP",Active,,1973-09-18,"3300 WEBSTER STREET, SUITE 702",CA
"SAN DIEGO ORTHOPAEDIC ASSOCIATES MEDICAL GROUP, INC.",Active,,1973-03-30,"4060 4TH AVENUE, SUITE 700",CA
"KERLAN-JOBE ORTHOPAEDIC CLINIC, A MEDICAL GROUP, INC.",Active,,1973-08-03,6801 PARK TERRACE # 500,CA
"LAKEWOOD EYE PHYSICIANS AND SURGEONS, INC., A MEDICAL GROUP",Active,,1973-10-05,"3300 E. SOUTH STREET, SUITE 105",CA
"COMMUNITY PEDIATRIC MEDICAL GROUP, INC.",Active,,1974-07-23,"1250 LA VENTA DRIVE, SUITE 103",CA
"DESERT CARDIOLOGY CONSULTANTS' MEDICAL GROUP, INC.",Active,,1974-04-01,"39000 BOB HOPE DR., HAL B. WALLIS BLDG.",CA
"MEMORIAL CARDIOLOGY MEDICAL GROUP, INC.",Active,,1974-04-30,2898 LINDEN AVE,CA
"NEUROLOGY MEDICAL GROUP OF DIABLO VALLEY, INC.",Active,,1974-09-23,575 LENNON LANE STE 152,CA
"KERN COUNTY NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1974-12-17,2701 F STREET,CA
"ESCONDIDO CARDIOLOGY ASSOCIATES, INC. MEDICAL GROUP",Active,,1975-02-19,"2130 CITRACADO PARKWAY, SUITE 220",CA
"ONCOLOGY-HEMATOLOGY CONSULTANTS MEDICAL GROUP, INC.",Active,,1975-02-27,2785 PACIFIC COAST HWY E726,CA
"WALNUT CREEK PEDIATRIC MEDICAL GROUP, INC.",Active,,1975-02-11,1822 SAN MIGUEL DR,CA
"PEDIATRIC MEDICAL GROUP OF RIVERSIDE, INC.",Active,,1974-11-06,6950 BROCKTON AVE. SUITE 5,CA
"CARDIOLOGY CONSULTANTS OF SANTA MONICA: A MEDICAL GROUP, INC.",Active,,1975-09-18,"1301 20TH STREET, SUITE 590",CA
"GENERAL VASCULAR SURGERY MEDICAL GROUP, INC.",Active,,1975-09-30,13851 E 14TH STREET STE 202,CA
"SALINAS PEDIATRIC MEDICAL GROUP, INC.",Active,,1975-10-31,505 E ROMIE LAN STE K,CA
"SANTA ROSA ORTHOPAEDIC MEDICAL GROUP, INCORPORATED",Active,,1976-02-11,1405 MONTGOMERY DRIVE,CA
"ORANGE COUNTY NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1976-07-22,"1211 W. LA PALMA AVE, SUITE 710",CA
"NIKKEI PEDIATRIC MEDICAL GROUP, INC.",Active,,1976-07-26,1245 WILSHIRE BLVD #635,CA
"GLENDALE NEUROSURGICAL MEDICAL GROUP, INC.",Active,,1976-05-13,"1016 E BROADWAY, STE 100",CA
"COASTAL PEDIATRIC MEDICAL GROUP, INC.",Active,,1976-10-22,"451 W GONZALES ROAD, SUITE 340",CA
"PEDIATRIC MEDICAL GROUP OF SANTA MARIA, INC.",Active,,1976-10-01,393 RODEO DRIVE,CA
"STOCKTON CARDIOLOGY MEDICAL GROUP COMPLETE HEART CARE, INC.",Active,,1976-12-02,"415 E. HARDING WAY, SUITE D",CA
"HUMBOLDT NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1976-12-02,2828 O'NEIL LANE,CA
"NEUROSURGICAL ASSOCIATES MEDICAL GROUP, INC.",Active,,1977-04-06,"7130 N. SHARON AVENUE, STE 100",CA
"VALLE VERDE PEDIATRICS MEDICAL GROUP, INC.",Active,,1977-05-19,15525 POMERADO RD,CA
"NORTHRIDGE NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1977-08-04,"18251 ROSCOE BLVD, STE 101",CA
"LOS ALAMITOS HEMATOLOGY/ONCOLOGY MEDICAL GROUP, INC.",Active,,1977-12-21,"3801 KATELLA AVE, STE 207",CA
"ORTHOPAEDIC GROUP OF ORANGE COUNTY, AN INCORPORATED MEDICAL GROUP",Active,,1977-12-23,1200 N TUSTIN AVE #250,CA
"CALIFORNIA RADIATION ONCOLOGY MEDICAL GROUP, INC.",Active,,1978-10-12,2650 ELM AVENUE. SUITE 201,CA
"INLAND HEMATOLOGY-ONCOLOGY MEDICAL GROUP, INC.",Active,,1978-10-12,401-C E HIGHLAND AVE,CA
"GARFIELD HEMATOLOGY AND ONCOLOGY CONSULTANTS MEDICAL GROUP, INC.",Active,,1978-11-13,600 N GARFIELD AVE STE #200,CA
"COLUMBIA PEDIATRICS MEDICAL GROUP, INC.",Active,,1979-02-14,"3833 WORSHAM AVE., SUITE 301",CA
"SOUTHERN CALIFORNIA NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1979-03-14,"415 N. CRESCENT DR, 300",CA
"FOOTHILL CARDIOLOGY MEDICAL GROUP, INC.",Active,,1979-03-29,235 E BADILLO ST,CA
"HAND SURGERY ASSOCIATES, A MEDICAL GROUP, INC.",Active,,1978-08-24,1515 RIVER PARK DR,CA
"DESERT HEMATOLOGY-ONCOLOGY MEDICAL GROUP, INC.",Active,,1978-08-29,34490 BOB HOPE DRIVE,CA
"ALLERGY AND ASTHMA ADULT AND PEDIATRIC MEDICAL GROUP OF THE REDWOODS, INC.",Active,,1979-03-06,"130 STONY PONT ROAD, SUITE E",CA
"GIRARD ORTHOPAEDIC SURGEONS MEDICAL GROUP, INC.",Active,,1979-06-11,"9333 GENESEE AVE, STE 350",CA
"PLASTIC SURGERY SPECIALISTS MEDICAL GROUP, INC.",Active,,1979-05-29,2400 BRIDGEWAY,CA
"ORTHOPAEDIC MEDICAL GROUP OF SANTA ANA, INC.",Active,,1979-06-01,"18102 IRVINE BLVD., STE. 107",CA
"VALLEY ORTHOPEDIC ASSOCIATES MEDICAL GROUP, INC.",Active,,1979-10-10,"615 E FOOTHILL, STE 615 627 639",CA
"BEVERLY ONCOLOGY & IMAGING CENTERS, MEDICAL GROUP, INC.",Active,,1980-04-02,120 WEST BEVERLY BLVD.,CA
"LOS ANGELES INSTITUTE FOR OPHTHALMIC SURGERY, A SURGICAL-MEDICAL GROUP CORPORATION",Active,,1980-07-01,5363 BALBOA BLVD STE 545,CA
"FIRST SURGICAL CONSULTANTS MEDICAL GROUP, INC.",Active,,1980-09-01,"365 HAWTHORNE AVE, SUITE 101",CA
"BARTON HUTCHERSON HEAD AND NECK SURGICAL AND MEDICAL GROUP, A MEDICAL CORPORATION",Active,,1981-03-09,9675 BRIGHTON WAY STE 410,CA
"DERMATOLOGY SPECIALISTS, INC. A SURGICAL/MEDICAL GROUP",Active,,1981-07-23,3629 VISTA WAY,CA
"LOS ALAMITOS PEDIATRIC MEDICAL GROUP, INC.",Active,,1981-10-09,"10861 CHERRY ST, 305",CA
"ADVANCED ORTHOPEDICS, A MEDICAL GROUP, INC.",Active,,1982-05-27,16530 VENTURA BLVD #100,CA
"NISHIKAWA AND LOWE SURGICAL SERVICES MEDICAL GROUP, INC.",Active,,1981-06-22,6235 N FRESNO ST SUITE 106,CA
"HAND AND MICROSURGERY MEDICAL GROUP, INC.",Active,,1981-07-27,"2299 POST STREET, SUITE 103",CA
"LAGUNA-VIEJO PEDIATRIC MEDICAL GROUP, INC.",Active,,1981-10-29,2575 JUANITA WAY,CA
"SURGICAL ASSOCIATES OF LA JOLLA MEDICAL GROUP, INC.",Active,,1982-02-09,9850 GENESEE AVE #660,CA
"WEST BAY ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,1982-04-23,"1850 SULLIVAN AVE, STE 330",CA
"SOUTH BAY SURGICAL ASSOCIATES MEDICAL GROUP, INC.",Active,,1983-01-11,480 4TH AVE SUITE 404,CA
"INLAND ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1982-06-21,1674 PLUM LANE,CA
"EYE SURGERY CENTER OF SOUTHERN CALIFORNIA, A MEDICAL GROUP",Active,,1983-05-17,2023 W VISTA WAY STE E,CA
CEDARS TOWERS SURGICAL MEDICAL GROUP,Active,,1983-07-19,"8635 W. THIRD ST., SUITE 350W",CA
"SAN DIEGO SURGEONS MEDICAL GROUP, INC.",Active,,1983-08-03,342 F STREET,CA
SKIN SURGERY MEDICAL GROUP INC.,Active,,1983-08-05,5222 BALBOA AVE. 6TH FLOOR,CA
"COAST POINTE ORTHOPAEDIC MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,1983-11-01,1370 VISTA DRIVE,CA
"THE HUNTINGTON TRAUMA SURGERY MEDICAL GROUP, INC.",Active,,1983-12-02,35 E. GLENARM STREET,CA
"ADVANCED DERMATOLOGY SURGICAL & MEDICAL GROUP, INC.",Active,,1983-10-03,"3650 E.SOUTH STREET, #306",CA
"PURI PEDIATRIC MEDICAL GROUP, INC.",Active,,1984-09-17,"2243 MOWRY AVENUE, SUITE F",CA
"SAN DIEGO GENERAL AND VASCULAR SURGEONS MEDICAL GROUP, INC.",Active,,1984-11-13,"7910 FROST STREET, SUITE 250",CA
"SURGI-LITE MEDICAL GROUP, INC.",Active,,1984-07-12,"904 SILVER SPUR ROAD, SUITE 345",CA
"BEVERLY PEDIATRIC MEDICAL GROUP, INC.",Active,,1985-10-11,"1417 W. BEVERLY BLVD., SUITE 102",CA
"HEMET CARDIOTHORACIC AND VASCULAR SURGERY MEDICAL GROUP, INC.",Active,,1986-04-01,1045 E MORTON PL,CA
"GUMBS ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1986-05-19,"16542 VENTURA BLVD., SUITE 122",CA
HEKMAT ORTHOPAEDICS MEDICAL GROUP INC.,Active,,1986-07-11,9763 W PICO BLVD # 200,CA
"PACIFIC ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,1988-02-18,707 S GARFIELD AVE STE 200,CA
"ORANGE COAST UROLOGY SURGICAL MEDICAL GROUP, INC.",Active,,1988-06-29,"520 SUPERIOR AVENUE, #240",CA
"MAMMOTH ORTHOPEDIC AND MEDICAL GROUP, INC.",Active,,1988-08-08,265 SILVER TIP LN,CA
"ASSOCIATION OF SOUTH BAY SURGEONS, A MEDICAL GROUP, INC.",Active,,1989-06-07,"23451 MADISON STREET, SUITE 340",CA
"SHEARER CARDIOLOGY MEDICAL GROUP, INC.",Active,,1990-07-09,"1577 EAST CHEVY CHASE DR., SUITE 260",CA
"PEDIATRIC RESOURCE MEDICAL GROUP, INC.",Active,,1992-05-22,1011 SHOTWELL ST,CA
"TRI-VALLEY ORTHOPEDIC AND SPORTS MEDICAL GROUP, INC.",Active,,1986-07-09,"2180 WEST GRANT LINE ROAD, STE 100",CA
"ALVARADO ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1988-12-19,5555 RESERVOIR DRIVE #104,CA
"PEDIATRIC PRIMARY CARE ASSOCIATED MEDICAL GROUP, INC.",Active,,1989-10-16,550 WASHINGTON ST STE 300,CA
"DESERT ORTHOPEDIC CENTER, A MEDICAL GROUP, INC.",Active,,1990-06-25,"HARRY AND DIANE RENKER BLDG 3RD FLR, 39000 BOB HOPE DRIVE",CA
"CITRUS VALLEY CARDIOLOGY MEDICAL GROUP, INC.",Active,,1990-12-24,833 CLOVERVIEW DR.,CA
"MOJAVE RADIATION ONCOLOGY MEDICAL GROUP, INC.",Active,,1991-01-16,"104 WOODMONT BLVD., SUITE 500",TN
"INTERVENTIONAL CARDIOLOGY MEDICAL GROUP, INC.",Active,,1987-04-27,"7301 MEDICAL CENTER DRIVE, 201",CA
"SOUTH AREA PEDIATRIC MEDICAL GROUP, INC.",Active,,1988-04-13,4760 FLORIN ROAD #D,CA
"VENTURA COUNTY RADIATION ONCOLOGY MEDICAL GROUP, INC.",Active,,1988-09-13,1700 N ROSE AVENUE #120,CA
"DE ANZA ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1988-12-20,26520 CACTUS AVE,CA
"ELK GROVE PEDIATRICS, INC., A MEDICAL GROUP",Active,,1989-01-10,9727 ELK GROVE FLORIN ROAD #250,CA
"MONTEBELLO ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1989-02-08,6758 PASSIONS BOULEVARD,CA
"ADOLESCENT - BABIES & CHILDREN'S PEDIATRIC MEDICAL GROUP, INC.",Active,,1990-01-01,702 WAKE AVENUE,CA
"LANCASTER CARDIOLOGY MEDICAL GROUP, INC.",Active,,1990-03-06,43860 10TH ST. W,CA
"RANCHO ORTHOPEDICS, A MEDICAL GROUP, INC.",Active,,1991-12-18,41990 COOK ST STE C302,CA
"BILLINGSLEY CARDIOVASCULAR AND THORACIC SURGERY, A MEDICAL GROUP, INC.",Active,,1992-12-03,330 S LAS PALMAS AVE,CA
"HARRIS & BATRA CARDIOLOGY MEDICAL GROUP, INC.",Active,,1993-03-10,"1245 WILSHIRE BLVD., STE 406 NORTH TOWER",CA
"SOUTHERN COUNTIES NEUROSURGICAL MEDICAL GROUP, INC.",Active,,1993-03-17,630 S. RAYMOND AVE UNIT 301,CA
"DESERT TRAUMA SURGEONS, A MEDICAL GROUP, INC",Active,,1994-01-14,380 E PASEO EL MIRADOR,CA
"CARDIOLOGY CONSULTANTS MEDICAL GROUP OF THE VALLEY, INC.",Active,,1994-02-17,"18370 BURBANK BLVD., #707",CA
"SO CAL ENDOSURGICAL MEDICAL GROUP, INC.",Active,,1994-03-15,904 SILVER SPUR RD STE 675,CA
"NORTHERN CALIFORNIA NEUROSURGERY MEDICAL GROUP, INC.",Active,,1997-01-01,3778 PINOT CT,CA
"CARDIOLOGY SPECIALISTS MEDICAL GROUP, INC.",Active,,1992-07-29,"3770 ELIZABETH STREET, SUITE A",CA
"PEDIATRIC URGENT CARE OF SACRAMENTO, INC., A MEDICAL GROUP",Active,,1992-08-27,7601 HOSPITAL DRIVE SUITE 101B,CA
"CALIFORNIA GENERAL SURGEONS MEDICAL GROUP, INC.",Active,,1992-10-26,15944 COLORADO AVE,CA
"CANCER CENTER ONCOLOGY MEDICAL GROUP, INC. - EAST COUNTY",Active,,1993-06-02,5555 GROSSMONT CENTER DR,CA
"MERCY ASSOCIATED PEDIATRIC SUBSPECIALISTS MEDICAL GROUP, INC.",Active,,1993-06-03,"4077 FIFTH AVENUE, CA",CA
"MEDICAL ONCOLOGY ASSOCIATES OF SAN DIEGO, A MEDICAL GROUP, INC.",Active,,1993-12-03,"3075 HEALTH CENTER DRIVE, 102",CA
"PEDIATRIX MEDICAL GROUP OF CALIFORNIA, A PROFESSIONAL CORPORATION",Active,,1994-04-14,1301 CONCORD TERRACE,FL
"SAN JOAQUIN CARDIOLOGY MEDICAL GROUP, INC.",Active,,1994-05-31,"2800 N CALIFORNIA SREET, SUITE 14A",CA
"PACIFIC PEDIATRICS MEDICAL GROUP, INC.",Active,,1995-04-07,"45 CASTRO STREET, #232",CA
"ADVANCED PEDIATRICS MEDICAL GROUP, INC.",Active,,1996-06-14,5222 BALBOA AVE SUITE 42,CA
"TEMECULA VALLEY CARDIOLOGY MEDICAL GROUP, INC.",Active,,1996-09-10,25405 HANCOCK AVE STE 216,CA
"NORTHERN CALIFORNIA ORTHOPEDIC CENTERS MEDICAL GROUP, INC.",Active,,1995-01-03,"6620 COYLE AVE., SUITE 303",CA
"ORTHOPEDIC ASSOCIATES OF NORTHERN CALIFORNIA, A MEDICAL GROUP",Active,,1995-04-19,131 RALEY BLVD.,CA
"CENTRAL VALLEY SURGICAL ASSOCIATES MEDICAL GROUP, INC.",Active,,1999-07-06,17203 ROAD 400,CA
"SIERRA PACIFIC ORTHOPAEDIC CENTER MEDICAL GROUP, INC.",Active,,2000-01-01,1630 E HERNDON AVE,CA
"SCRIPPS CARDIOLOGY MEDICAL GROUP, INC.",Active,,1995-06-23,"4495 DALE AVENUE, SUITE 200",CA
"CALIFORNIA ONCOLOGY OF THE CENTRAL VALLEY MEDICAL GROUP, INC.",Active,,1995-06-30,6121 N THESTA STE 204,CA
"PAVILION NEUROLOGY MEDICAL GROUP, INC., A CALIFORNIA PROFESSIONAL MEDICAL CORPORATION",Active,,1996-01-02,1140 W LAVETA STE 730,CA
"CORONA ORTHOPAEDIC ASSOCIATES MEDICAL GROUP, INC.",Active,,1996-03-11,341 MAGNOLIA AVE STE 101,CA
"ORTHOPAEDICS, SPORTS & WORKER'S MEDICAL GROUP, INC.",Active,,1996-03-13,16246 N LOCUST TREE ROAD,CA
"MISSION PEAK ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,1996-07-18,"39350 CIVIC CENTER DRIVE, SUITE 300",CA
"ORTHOPAEDIC HOSPITAL MEDICAL GROUP, INC.",Active,,1996-08-23,403 W. ADAMS BLVD.,CA
"ORTHOPEDIC CENTER FOR EXCELLENCE MEDICAL GROUP, A MEDICAL CORPORATION",Active,,1997-03-20,21500 PIONEER BLVD. SUITE 208,CA
CARDIOVASCULAR SURGICAL ASSOCIATES MEDICAL GROUP,Active,,1984-07-01,"3555 LOMA VISTA ROAD, SUITE 210",CA
PLEASANT VALLEY PEDIATRIC MEDICAL GROUP,Active,,1984-07-01,3901 LAS POSAS ROAD,CA
SILVERADO SURGICAL SPECIALISTS MEDICAL GROUP,Active,,1984-08-07,"660 SANITARIUM RD., STE. 201",CA
"CENTRAL PEDIATRICS MEDICAL GROUP, INC.",Active,,1997-06-30,"12598 CENTRAL AVE,, A",CA
OUTPATIENT SURGERY CENTER MEDICAL GROUP A CALIFORNIA LIMITED PARTNERSHIP,Active,,1987-07-14,"1820 FULLERTON AVE., STE. 330",CA
"SOUTHLAND PEDIATRICS MEDICAL GROUP, A LIMITED PARTNERSHIP",Active,,1988-04-15,535 S. SECOND AVE.,CA
"GRAND SURGICAL - MEDICAL GROUP, L.P.",Active,,1989-03-30,"1125 E. 17TH ST., SUITE N-253",CA
"ALTA ORTHOPAEDIC MEDICAL GROUP, INC.",Active,,1997-01-08,511 BATH STREET,CA
"THE CENTER FOR INTERVENTIONAL CARDIOLOGY AND NEPHROLOGY MEDICAL GROUP, INC.",Active,,1997-01-24,"8631 W. THIRD ST., 815-E",CA
"SAN FRANCISCO ONCOLOGY ASSOCIATES MEDICAL GROUP, INC.",Active,,1997-01-31,2100 WEBSTER #326,CA
"SACRAMENTO VALLEY PEDIATRIC MEDICAL GROUP, INC.",Active,,1997-02-26,"7501 HOSPITAL DRIVE, SUITE 203",CA
"NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,1997-04-09,18350 ROSCOE BLVD STE 318,CA
"ONCOLOGY NETWORK OF ORANGE COUNTY, A MEDICAL GROUP, INC.",Active,,1997-04-28,1209 N. BAYFRONT,CA
"KERN CARDIOLOGY MEDICAL GROUP, INC.",Active,,1997-05-13,"4000 PHYSICIANS BLVD, BLDG E STE 101",CA
"PEDIATRICS & NEONATOLOGY MEDICAL GROUP OF ORANGE COUNTY, INC.",Active,,1997-06-09,12665 GARDEN GROVE BLVD STE 713,CA
"BURBANK PLASTIC SURGERY MEDICAL GROUP, LLC",Active,,2014-08-18,2301 WEST ALAMEDA AVENUE,CA
"LASER & SKIN SURGERY MEDICAL GROUP, INC.",Active,,1997-07-01,3835 J STREET,CA
"NORTHERN CALIFORNIA CHILDREN'S HEMATOLOGY ONCOLOGY MEDICAL GROUP, INC.",Active,,1998-02-03,"2825 J STREET, SUITE 435",CA
"ADULT AND PEDIATRIC ORTHOPAEDIC SPECIALISTS, A MEDICAL GROUP, INC.",Active,,1997-07-07,1310 W STEWART DRIVE SUITE 508,CA
"CAPITOL SURGICAL ASSOCIATES MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,1997-08-25,"2800 L STREET, SUITE 200",CA
"FOSTER CITY PEDIATRIC MEDICAL GROUP, INC.",Active,,1997-09-29,1295 E HILSDALE BLVD.,CA
"PENINSULA CARDIOLOGY MEDICAL GROUP, INC.",Active,,1997-11-14,"101 SOUTH SAN MATEO DR., STE. 213",CA
"KIDS-CARE PEDIATRICS MEDICAL GROUP, INC. A PROFESSIONAL CORPORATION",Active,,1998-01-02,1164 NORTH EUCLID ST,CA
"LAND PARK PEDIATRIC MEDICAL GROUP, INC.",Active,,1998-03-25,"4617 FREEPORT BLVD, STE B",CA
GOLDEN BEAR ORTHOPEDIC MEDICAL GROUP INC.,Active,,1998-07-14,"28720 ROADSIDE DRIVE, SUITE 231",CA
"KHIEM P.V. NGUYEN, M.D. CARDIOLOGY ASSOCIATES MEDICAL GROUP, INC.",Active,,1998-10-07,10681 BOLSA AVE,CA
"SOUTH COUNTIES PEDIATRIC CRITICAL CARE MEDICAL GROUP, A CALIFORNIA PROFESSIONAL CORPORATION",Active,,1998-05-08,1401 AVOCADO AVE SUTE 802,CA
"MATOS ORTHOPEDICS MEDICAL GROUP, INC.",Active,,1998-07-31,5949 ADENMOOR AVENUE,CA
"RAMBLC PEDIATRIC MEDICAL GROUP, A CALIFORNIA PROFESSIONAL MEDICAL CORPORATION",Active,,1998-12-18,14880 LOS GATOS BLVD,CA
